City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Nizwá,22.93,57.53,81.86,11,0,4.23,OM,1603252587
Ankazoabo,-22.28,44.52,75.79,40,0,5.77,MG,1603252588
Jinji,23.23,110.83,74.64,57,0,9.44,CN,1603252602
Sur,22.57,59.53,81.39,50,0,6.76,OM,1603252614
Aswān,24.09,32.91,76.84,24,0,8.66,EG,1603252622
Araouane,18.9,-3.53,82.17,19,0,8.95,ML,1603252628
Bilma,18.69,12.92,74.91,19,0,2.53,NE,1603252654
Agadez,19.75,10.25,77.02,18,0,9.71,NE,1603252654
Oodweyne,9.41,45.06,73.11,24,0,2.13,SO,1603252661
Rāwah,34.48,41.91,71.67,35,0,9.42,IQ,1603252667
Ilām,26.92,87.92,72.73,60,0,4.14,NP,1603252675
Umluj,25.02,37.27,83.1,32,0,4.27,SA,1603252675
Swan Hill,-35.34,143.55,77.59,28,0,7.27,AU,1603252675
Adrar,20.5,-10.07,80.6,19,0,4.9,MR,1603252692
Miandrivazo,-19.52,45.47,82.26,52,0,0.22,MG,1603252694
Atar,20.52,-13.05,83.61,27,0,5.64,MR,1603252701
